,ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
0,A-512846,Source2,1,2022-09-08 07:41:06,2022-09-08 08:33:38,38.507175,-90.338104,38.7267,-90.32788,0.0,Right hand shoulder blocked due to crash on I-270 Northbound after Exit 1A I-55.,Rusty Rd,St Louis,MO,63128,US,US/Central,KCPS,2022-09-08 07:53:00,65.0,65.0,93.0,29.59,10.0,NE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,
1,A-513064,Source2,3,2022-09-08 07:28:09,2022-09-08 07:57:42,38.629669,-90.334358,38.7267,-90.32788,0.0,Right lane blocked due to crash on I-64 Eastbound after Hanley Rd.,US-40,St Louis,MO,63117,US,US/Central,KSTL,2022-09-08 07:51:00,68.0,68.0,84.0,29.39,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
2,A-513575,Source2,3,2022-09-07 15:20:30,2022-09-07 16:05:36,38.772296999999995,-90.306618,38.7267,-90.32788,0.0,Right lane blocked due to crash on I-270 Eastbound after Elizabeth Ave.,I-270,St Louis,MO,63135,US,US/Central,KSTL,2022-09-07 14:51:00,83.0,83.0,53.0,29.44,10.0,NNW,13.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
3,A-517003,Source2,3,2022-09-04 16:55:46,2022-09-04 17:40:39,38.63118400000001,-90.25399,38.7267,-90.32788,0.0,Two lanes blocked due to crash on I-64 Westbound after Exit 36B Boyle Ave.,US-40,St Louis (City),MO,63110,US,US/Central,KCPS,2022-09-04 16:53:00,74.0,74.0,91.0,29.51,10.0,NE,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
4,A-517428,Source2,3,2022-09-03 11:20:54,2022-09-03 12:05:06,38.720238,-90.332237,38.7267,-90.32788,0.0,Right lane closed due to crash on I-170 Southbound after I-70 Exits 238 / I-170 Exits 7.,I-170,St Louis,MO,63134,US,US/Central,KSTL,2022-09-03 11:11:00,71.0,71.0,84.0,29.46,6.0,ESE,8.0,0.0,Haze,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,
5,A-518052,Source2,3,2022-09-02 15:36:24,2022-09-02 16:05:34,38.698456,-90.450768,38.7267,-90.32788,0.0,Center lane blocked due to crash on I-270 Southbound at Exit 16 MO-364 Page Ave.,I-270,St Louis,MO,63146,US,US/Central,KSTL,2022-09-02 15:51:00,80.0,80.0,62.0,29.38,10.0,SW,7.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
6,A-518584,Source2,1,2022-09-02 08:46:24,2022-09-02 09:16:05,38.639542,-90.387032,38.7267,-90.32788,0.0,Crash on Clayton Rd near Conway Rd.,Conway Rd,St Louis,MO,63124-1647,US,US/Central,KSTL,2022-09-02 08:51:00,74.0,74.0,73.0,29.38,10.0,SE,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
7,A-518677,Source2,1,2022-09-02 07:14:04,2022-09-02 07:43:39,38.72781,-90.239594,38.7267,-90.32788,0.0,Crash on MO-367 Lewis And Clark Blvd near Longridge Dr.,Lewis and Clark Blvd,St Louis,MO,63136-5130,US,US/Central,KSTL,2022-09-02 06:51:00,72.0,72.0,71.0,29.35,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
8,A-518953,Source2,3,2022-09-01 21:07:26,2022-09-01 21:36:39,38.511436,-90.336143,38.7267,-90.32788,0.0,Two lanes blocked due to crash on I-55 Southbound before Lindbergh Blvd.,S Lindbergh Blvd,St Louis,MO,63128,US,US/Central,KCPS,2022-09-01 20:53:00,71.0,71.0,81.0,29.54,10.0,SE,5.0,0.0,Fair,False,False,False,True,False,False,False,False,False,False,False,True,False,,,,
9,A-520145,Source2,3,2022-09-01 06:01:32,2022-09-01 06:51:00,38.772296999999995,-90.306618,38.7267,-90.32788,0.0,Three lanes blocked due to crash on I-270 Westbound after Elizabeth Ave.,I-270,St Louis,MO,63135,US,US/Central,KSTL,2022-09-01 05:51:00,68.0,68.0,73.0,29.41,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
10,A-520368,Source2,3,2022-08-31 19:33:30,2022-08-31 20:13:05,38.513405,-90.335365,38.7267,-90.32788,0.0,Left lane closed due to crash on I-55 Southbound before Lindbergh Blvd.,I-55,St Louis,MO,63123,US,US/Central,KCPS,2022-08-31 19:53:00,70.0,70.0,84.0,29.58,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
11,A-521126,Source2,3,2022-08-31 09:20:56,2022-08-31 09:51:00,38.639015,-90.449295,38.7267,-90.32788,0.0,Lane blocked due to crash on I-64 Eastbound at Exits 25 25A-B 26 / I-270/ Ballas Rd.,US-40,St Louis,MO,63141,US,US/Central,KSTL,2022-08-31 08:51:00,74.0,74.0,66.0,29.46,10.0,W,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
12,A-521875,Source2,3,2022-08-30 17:37:03,2022-08-30 18:06:24,38.772296999999995,-90.306618,38.7267,-90.32788,0.0,Left lane closed due to crash on I-270 Eastbound after Elizabeth Ave.,I-270,St Louis,MO,63135,US,US/Central,KSTL,2022-08-30 17:51:00,83.0,83.0,37.0,29.36,10.0,N,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
13,A-523617,Source2,3,2022-08-29 09:30:12,2022-08-29 10:00:00,38.654556,-90.35437,38.7267,-90.32788,0.0,Left lane blocked due to crash on I-170 Southbound from Exit 1F / Ladue Rd.,I-170,St Louis,MO,63124,US,US/Central,KSTL,2022-08-29 09:51:00,85.0,85.0,69.0,29.3,10.0,SW,12.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
14,A-523978,Source2,1,2022-08-29 07:53:01,2022-08-29 08:22:21,38.769913,-90.280113,38.7267,-90.32788,0.0,Crash on Florissant Ave at Pershall Rd.,W Florissant Ave,St Louis,MO,63136,US,US/Central,KSTL,2022-08-29 07:51:00,80.0,80.0,79.0,29.26,10.0,SW,10.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,
